,Aff,Neg,Win
0,Binghamton TC,Kansas MR,Neg
1,Harvard DS,Kansas LS,Neg
2,Emory GH,Michigan BP,Neg
3,Dartmouth BC,Kentucky GS,Aff
4,Michigan SS,Emory CP,Neg
5,Kentucky AM,Emory BS,Aff
6,Georgetown CS,Wake Forest LS,Neg
7,Michigan State GL,West Georgia DK,Neg
8,Emory LY,Northwestern DR,Neg
9,UC Berkeley MR,Iowa BW,Neg
10,Macalester PK,CSU Long Beach OM,Neg
11,Wake Forest BM,CSU Long Beach EG,Aff
12,James Madison CP,Emory KP,Neg
13,NYU MS,Dartmouth KR,Aff
14,Dartmouth BJ,Michigan ES,Neg
15,UC Berkeley TB,Binghamton KR,Aff
16,Gonzaga DW,Dartmouth CG,Aff
17,Kansas WH,Michigan DS,Neg
18,Harvard AB,Texas AF,Neg
19,Emory MR,Dartmouth CaGu,Aff
20,Kansas WW,UC Berkeley US,Aff
21,Northwestern AL,Michigan State BS,Neg
22,James Madison BR,Northwestern PS,Neg
23,Iowa AP,Wake Forest BW,Neg
24,Harvard FK,Michigan AO,Neg
25,Emory RT,Southern Nazarene YH,Aff
26,Northwestern AZ,Emory OS,Neg
27,Cal State Fullerton DR,Emory FW,Neg
28,Michigan State JS,Cornell BD,Aff
29,Georgetown PV,Michigan State AZ,Aff
30,Dartmouth MM,Minnesota HK,Aff
31,Cornell DK,Minnesota UW,Aff
32,,Cal State Fullerton MM,Neg BYE
