,Aff,Neg,Win
0,Southern California MT,UC Berkeley TB,Aff
1,Michigan ES,UTD HR,Neg
2,George Mason DF,Arizona State SS,Aff
3,Iowa BW,Samford PR,Neg
4,Harvard GY,Binghamton TK,Aff
5,Wake Forest BW,Texas AF,Neg
6,Kentucky AM,CSU Long Beach OM,Aff
7,Georgetown GZ,Kentucky RS,Neg
8,Wake Forest CS,Binghamton TC,Neg
9,George Mason WR,Kansas AB,Aff
10,Michigan SS,Michigan State MM,Neg
11,Cal State Fullerton MW,Liberty LT,Aff
12,Dartmouth BC,Kansas LS,Aff
13,Liberty CS,James Madison MO,Aff
14,UC Berkeley MR,Kansas WW,Aff
15,Northwestern DR,Rochester OR,Aff
16,Wake Forest LS,UTD KP,Aff
17,Kansas MR,Emory GH,Neg
18,Southern California CS,Emory MR,Neg
19,Iowa AP,Dartmouth GR,Aff
20,Emory GY,Wake Forest EP,Aff
21,Wichita State MW,Michigan BP,Neg
22,UTD KS,Michigan BD,Aff
23,Stanford LL,Dartmouth GK,Aff
24,Northwestern AL,Wake Forest BM,Neg
25,Emory LY,NYU MS,Neg
26,Emory CP,Michigan State GL,Neg
27,Binghamton CN,Dartmouth CG,Neg
28,Trinity PK,Michigan SaSh,Aff
29,Wichita State GM,Northwestern HL,Aff
30,Southern California BR,Michigan AO,Aff
31,Kansas WH,Northwestern PS,Neg
32,Kentucky GS,Navy CR,Neg
33,Georgetown CS,Gonzaga DW,Aff
34,Georgia IP,Minnesota UW,Aff
35,James Madison CP,UC Berkeley US,Neg
36,Cornell DL,Georgetown PV,Neg
37,Dartmouth BJ,Houston KS,Neg
38,Emory KP,James Madison BR,Aff
39,Navy LS,Houston TY,Neg
