,Aff,Neg,Win
0,Wake Forest LS,UTD KP,Aff
1,Michigan DS,Iowa BW,Neg
2,Georgia IP,Wake Forest CS,Neg
3,Emory LY,Northwestern PS,Aff
4,Binghamton TC,Kansas WH,Aff
5,Houston KS,Southern California/UC Berkeley OM,Neg
6,Michigan State AZ,Emory FW,Neg
7,Kansas LS,Michigan State MM,Aff
8,Dartmouth CG,Wake Forest BH,Neg
9,Kansas BW,NYU MS,Neg
10,Harvard GY,Kansas MR,Neg
11,Dartmouth BC,Wake Forest EP,Aff
12,Wake Forest BM,Emory GH,Neg
13,Georgetown CW,Emory MR,Aff
14,Michigan BP,Kentucky AM,Aff
15,Georgetown RS,Cal State Fullerton MW,Aff
16,Michigan ShSi,CSU Long Beach OM,Neg
17,Dartmouth CW,George Mason WR,Neg
18,Emory CP,Michigan SS,Aff
19,Houston AK,Michigan State BS,Neg
20,Iowa AP,Macalester HK,Aff
21,Michigan State GL,West Georgia DK,Aff
22,Kansas WW,Northwestern DR,Aff
23,Kansas HP,Emory GY,Aff
24,UC Berkeley TB,Texas AF,Aff
25,Cal State Fullerton AM,UTD KS,Neg
26,Houston TY,Dartmouth KR,Neg
27,North Texas JW,Emory ST,Neg
28,UC Berkeley MR,Michigan AO,Aff
29,Western Kentucky SS,Michigan SG,Neg
30,George Mason DF,Emory PO,Aff
31,UTD HR,Emory SW,Aff
32,Gonzaga DW,Northwestern AL,Aff
33,Michigan ES,Dartmouth BJ,Aff
34,Southern California BR,Kentucky GS,Neg
35,Gonzaga RW,Harvard AB,Neg
36,Michigan State JS,Emory KP,Neg
37,Southern California ZM,Kansas BS,Neg
38,Missouri State CN,Georgetown/American University (Policy Debate) VY,Aff
39,Western Kentucky CS,Baylor LC,Neg
40,Southern California CS,Wake Forest DS,Aff
41,Western Kentucky FC,Emory RT,Aff
42,Emory BS,Southern California BrRe,Neg
43,Houston DF,Wichita State GM,Aff
44,Michigan BH,Baylor KB,Aff
45,Southern Nazarene YH,Dartmouth MM,Neg
46,Southern California LK,Kansas FS,Neg
47,Oklahoma AW,Missouri State BK,Aff
48,Missouri State BG,Wichita State MW,Neg
49,Missouri State CT,Macalester DD,Neg
