,Aff,Neg,Win
0,West Georgia DK,Kansas MR,Neg
1,Harvard GY,UTD KP,Aff
2,Emory GY,Dartmouth BC,Neg
3,Michigan BP,Emory CP,Aff
4,Michigan SS,Binghamton TC,Neg
5,Georgia IP,Georgetown CW,Neg
6,Michigan State GL,Emory GH,Neg
7,Kansas LS,Dartmouth CW,Aff
8,Northwestern DR,Wake Forest BM,Neg
9,Kansas WH,CSU Long Beach OM,Aff
10,Michigan State MM,Emory LY,Neg
11,Georgetown RS,Kentucky AM,Neg
12,Emory MR,Northwestern PS,Neg
13,Kansas HP,Wake Forest CS,Aff
14,Wake Forest LS,Kansas WW,Aff
15,UC Berkeley TB,Iowa AP,Aff
