,Aff,Neg,Win
0,Dartmouth BJ,Iowa BW,Aff
1,Navy LS,Kansas BW,Neg
2,Kansas HM,Harvard FK,Aff
3,Wake Forest EP,Navy CR,Neg
4,Emory MR,UTD HR,Aff
5,Minnesota PW,Texas NS,Neg
6,Liberty CL,Kentucky AM,Neg
7,Houston AS,Wake Forest BW,Aff
8,Emory CP,Houston KY,Aff
9,Macalester HD,Emory KP,Neg
10,James Madison MO,Michigan SS,Neg
11,Binghamton TC,Kansas SH,Aff
12,Wichita State GM,Dartmouth GM,Aff
13,Wake Forest BM,CSU Long Beach OM,Neg
14,Michigan State AG,Kansas EM,Aff
15,Emory LY,Purdue AH,Aff
16,Missouri State BN,Dartmouth BC,Neg
17,Texas AF,Minnesota HU,Aff
18,Michigan AO,Kansas WW,Aff
19,Baylor LD,Southern Nazarene BS,Aff
20,Georgetown CS,Michigan State MM,Aff
21,Kansas State AD,Dartmouth KR,Neg
22,Kansas HB,Oklahoma LM,Aff
23,Southern California BR,Kentucky GS,Neg
24,Kansas WH,Michigan DS,Aff
25,Kansas State SS,Houston DF,Aff
26,Emory GY,Southern California MT,Aff
27,Northern Iowa VD,Binghamton TP,Aff
28,Kansas State SR,Kansas BP,Neg
29,Kansas LS,Iowa AP,Aff
30,Macalester/Michigan WG,Iowa KS,Neg
31,Emory PO,Arizona State SS,Aff
32,Dartmouth ML,James Madison CP,Aff
33,UTD KS,Kansas MR,Neg
34,Michigan ES,Kentucky RS,Aff
35,Michigan State GL,Northwestern DR,Neg
36,George Mason WR,Macalester PK,Neg
37,Dartmouth CG,Emory GH,Neg
38,Michigan State BS,Emory FW,Aff
39,James Madison BR,NYU MS,Neg
40,George Mason DF,Harvard DS,Neg
41,Georgetown PV,Dartmouth CaGu,Neg
42,Northwestern AL,UC Berkeley TB,Neg
43,Binghamton KR,Emory SW,Aff
44,Southern California BrRe,West Georgia DK,Neg
45,Stanford LL,Wake Forest HN,Aff
46,Michigan BP,Kansas SA,Neg
47,Emory RT,North Texas JW,Neg
48,NYU JT,Northwestern HL,Neg
49,Samford GP,UTD KP,Neg
50,Harvard AB,Michigan State JS,Neg
