,Aff,Neg,Win
0,Michigan BS,North Texas JW,Aff
1,CSU Long Beach OM,UTD KP,Aff
2,Baylor LC,Liberty CS,Aff
3,Michigan SS,James Madison BR,Aff
4,Michigan State BS,Oklahoma HD,Aff
5,Baylor DB,Emory GH,Neg
6,Oklahoma TS,Southern California BrRe,Neg
7,Kansas WW,Binghamton TC,Neg
8,Dartmouth CG,Georgetown RG,Aff
9,Michigan BP,Emory FW,Aff
10,Houston KS,Kentucky GS,Neg
11,Missouri State AB,Wyoming CH,Neg
12,Kansas FS,Dartmouth KR,Neg
13,Emory MR,Iowa BW,Aff
14,Western Kentucky FC,Emory GY,Neg
15,Dartmouth MM,Missouri State CN,Neg
16,Emory RT,Northwestern AZ,Neg
17,Kentucky AM,Georgetown PV,Aff
18,Michigan State AZ,Wake Forest NS,Neg
19,Kansas MS,Indiana FJ,Aff
20,Dartmouth BJ,Kansas AB,Neg
21,James Madison CP,Western Kentucky CS,Aff
22,Emory LY,George Mason DF,Aff
23,Northwestern RY,Wake Forest CS,Neg
24,Wake Forest BM,Northwestern AL,Neg
25,Western Kentucky SS,Gonzaga DW,Neg
26,Samford HS,Michigan State AG,Neg
27,Wake Forest EP,Harvard DS,Aff
28,Dartmouth CW,Minnesota HH,Aff
29,Michigan State MM,UTD KS,Aff
30,Northwestern PS,Dartmouth GG,Aff
31,Kentucky RS,Kansas WH,Aff
32,West Georgia DK,Emory ST,Neg
33,Houston DF,George Mason WR,Neg
34,Wake Forest HS,Wichita State GM,Aff
35,Emory PO,Houston AK,Neg
36,Emory CP,Michigan State GL,Neg
37,Texas KN,Michigan ES,Neg
38,Samford GP,George Mason RR,Neg
39,Northwestern DR,Georgetown CS,Aff
40,Kentucky AE,Kansas HB,Aff
41,Arizona State SS,Kansas BS,Neg
42,Wichita State MW,Michigan AO,Aff
43,Emory KP,Kansas LS,Neg
44,Northwestern MO,UTD HR,Aff
45,Kansas MR,Navy CR,Aff
46,Kansas BW,Michigan State JS,Neg
47,Wake Forest BW,Texas AF,Neg
48,Michigan ShSi,Dartmouth BC,Neg
49,West Georgia FK,Michigan AL,Aff
50,Harvard FK,Indiana SF,Aff
51,Southern California MM,Kansas LD,Aff
52,James Madison MO,Wake Forest LS,Aff FFT																									Neg BYE
