,Aff,Neg,Win
0,Kansas MR,Baylor LC,Aff
1,Kansas WW,Michigan State GL,Neg
2,Emory GY,Kansas LS,Neg
3,George Mason WR,Michigan BP,Neg
4,West Georgia DK,Kentucky AM,Neg
5,CSU Long Beach OM,Kentucky GS,Neg
6,Wake Forest EP,Binghamton TC,Neg
7,Wake Forest BW,Dartmouth BC,Neg
8,Michigan State MM,Houston AK,Aff
9,Emory MR,Georgetown CS,Neg
10,Michigan SS,Emory KP,Neg
11,Dartmouth CW,Emory CP,Neg
12,Emory LY,Wake Forest LS,Aff
13,Emory GH,Texas AF,Aff
14,Dartmouth CG,Northwestern DR,Neg
15,Michigan ES,UTD KP,Neg
