,Aff,Neg,Win
0,Wake Forest LS,Kentucky RS,Neg
1,Northwestern DR,UTD KP,Aff
2,Kansas MR,Northwestern PS,Aff
3,Emory CP,Iowa BW,Aff
4,Liberty CL,Dartmouth CG,Neg
5,Kansas State SS,Binghamton TC,Neg
6,Michigan ES,Dartmouth BC,Neg
7,Baylor LD,Georgia IP,Neg
8,Macalester PK,Emory KP,Aff
9,Southern Nazarene YH,Kansas MF,Aff
10,West Georgia DK,CSU Long Beach OM,Aff
11,Michigan BP,Kansas BW,Aff
12,Georgetown CS,Harvard AB,Aff
13,Northwestern AL,Emory LY,Neg
14,Michigan SS,Southern California BrRe,Aff
15,Navy CR,Wake Forest BM,Neg
16,Wake Forest BW,Kentucky GS,Aff
17,Iowa AP,NYU MS,Aff
18,Southern California BR,Kansas WW,Neg
19,Stanford LL,Kansas WH,Aff
20,Houston AK,George Mason WR,Neg
21,UC Berkeley TB,Michigan State MM,Neg
22,Kentucky AM,Emory GY,Aff
23,Gonzaga DW,UTD KS,Neg
24,North Texas JW,Kansas AB,Neg
25,Georgetown PV,George Mason DF,Neg
26,Emory ST,Houston DF,Aff
27,Southern California CS,James Madison MO,Neg
28,Trinity PK,Oklahoma SW,Aff
29,Texas KN,Emory MR,Neg
30,Michigan State GL,Dartmouth GR,Aff
31,Northwestern AZ,Michigan BS,Neg
32,Wake Forest SS,Samford GP,Neg
33,Emory PO,James Madison BR,Neg
34,Harvard DS,Wake Forest EP,Neg
35,Western Kentucky FC,Emory CL,Neg
36,James Madison CP,Kansas LS,Neg
37,UTD HR,Kansas BS,Neg
38,Minnesota HH,Kansas HM,Aff
39,Michigan State JS,Kansas SH,Aff
40,Northwestern HL,UC Berkeley MR,Neg
41,Michigan State AG,Michigan AO,Aff
42,Texas AF,Michigan SG,Aff
43,Rochester OR,Wichita State MW,Neg
44,Macalester HD,Western Kentucky SS,Neg
45,Oklahoma HD,Liberty FT,Neg
46,Michigan HL,Missouri State CR,Aff
47,Kansas State AD,CSU Long Beach EG,Aff
48,Wyoming/Towson CC,Western Kentucky CS,Aff
49,Binghamton CN,Emory TW,Aff
50,Michigan State AB,Kansas State SR,Aff
51,Cal State Fullerton AM,UTD UD,Aff
52,Cornell DL,Harvard FK,Aff
53,George Mason RR,Southern California ZM,Neg
54,Emory FW,Purdue FH,Aff
55,Binghamton TK,Kansas LD,Aff
56,Wichita State GM,West Georgia FK,Aff
57,Cornell BD,Baylor CK,Neg
58,Baylor LB,Wake Forest BH,Neg
59,Trinity MB,Wake Forest DS,Neg
60,Oklahoma AT,Navy LS,Aff
61,UT San Antonio BW,Missouri State BK,Neg
