,Aff,Neg,Win
0,Michigan State GL,Southern California DT,Aff
1,Emory CG,Iowa EW,Neg
2,Wichita State GM,Emory LY,Neg
3,Michigan State JS,Trinity CK,Aff
4,Iowa AP,Emory ST,Aff
5,Dartmouth JR,Wake Forest HN,Neg
6,Emory CR,Kansas HP,Neg
7,Liberty CL,Purdue HH,Aff
8,Emory RY,Dartmouth GH,Aff
9,Navy CR,Michigan State GS,Neg
10,Emory CS,Stanford LY,Aff
11,Texas GS,Michigan State FM,Neg
12,Michigan AO,CSU Long Beach OM,Neg
13,Kansas SS,Emory KW,Aff
14,Baylor DL,Southern California MT,Aff
15,CSU Long Beach SS,Michigan CS,Neg
16,Wyoming CH,Northwestern AT,Neg
17,Kansas BW,Southern California HV,Aff
18,UTD PR,Wake Forest DE,Aff
19,Michigan HM,Harvard AB,Aff
20,Kansas BM,Michigan BP,Neg
21,Gonzaga RW,Iowa KS,Neg
22,Michigan ES,Northwestern LW,Aff
23,UC Berkeley GS,Texas FL,Neg
24,Minnesota HU,Kansas OW,Neg
25,Michigan CC,Georgetown LN,Aff
26,Kentucky GS,Northwestern LL,Aff
27,Harvard/Amherst SL,Wake Forest LW,Neg
28,UTD HH,Dartmouth CG,Neg
29,Northwestern NP,Michigan AM,Aff
30,Kentucky RW,Northwestern AH,Aff
31,Wyoming WW,Dartmouth BC,Aff
32,Trinity KP,Michigan SS,Neg
33,Kansas AU,Northwestern LO,Aff
34,Georgetown AC,Georgia CK,Aff
35,Northwestern HP,Southern California BR,Neg
36,UTD DD,Kansas LS,Neg
37,UC Berkeley MR,Arizona State SS,Aff
38,Binghamton CK,Wake Forest AB,Aff
39,Georgetown TP,UC Berkeley BU,Neg
40,Southern California BM,Northwestern LR,Neg
