,Aff,Neg,Win
0,Georgetown AC,Kansas BC,Aff
1,Michigan BL,Michigan State GS,Neg
2,Dartmouth BC,Kansas MS,Neg
3,Michigan State FM,Northwestern HP,Aff
4,Kentucky GS,MInnesota HU,Aff
5,Utah PP,Michigan State JS,Neg
6,Wake Forest DE,Michigan State GL,Neg
7,Kansas BW,Dartmouth GuHa,Neg
8,CSU Long Beach OM,Northwestern LL,Aff
9,Baylor MP,UTD HK,Neg
10,Dartmouth JR,Michigan BP,Neg
11,George Mason WW,Northwestern LO,Aff
12,Dartmouth CG,Michigan AM,Aff
13,MoState NS,Emory KS,Neg
14,Georgia CP,NYU MS,Neg
15,Michigan CC,Kansas HL,Aff
16,Emory LY,Northwestern LW,Aff
17,UC Berkeley LS,Baylor DL,Neg
18,Georgetown LN,Northwestern LR,Neg
19,Wake Forest LW,Harvard FK,Aff
20,Northwestern PS,Emory/Columbia AH,Aff
21,Western Kentucky SS,Harvard DS,Neg
22,Western Kentucky KN,Emory GS,Neg
23,Kentucky RS,Northwestern AK,Aff
24,UC Berkeley MR,Baylor BK,Aff
25,Harvard JS,Emory RY,Neg
26,Harvard AB,Iowa AP,Neg
27,Kansas AU,Rochester OR,Aff
28,Binghamton CK,Texas FL,Aff
29,UC Berkeley GS,Kansas SS,Neg
30,Georgia CK,Kansas LS,Neg
31,Iowa EW,Dartmouth BG,Aff
32,Michigan SS,Kansas JB,Aff
33,"Massachusetts, Amherst LM",Northwestern AT,Neg
34,Iowa BS,Michigan ES,Neg
35,UTD PR,Dartmouth GH,Aff
36,Northwestern NP,Wichita State GM,Aff
37,Cornell MD,Michigan AO,Neg
38,Gonzaga WW,Kansas OW,Aff
39,George Mason DE,Emory CR,Neg
40,Kansas HP,Macalester WK,Aff
41,Harvard CS,UC Berkeley BU,Neg
