,Aff,Neg,Win
0,Wake Forest HN,Georgetown KL,Aff
1,Wyoming WW,Baylor BK,Neg
2,UC Davis MS,Indiana FT,Aff
3,Emory CG,Michigan AM,Neg
4,Michigan State FM,Kansas State DS,Aff
5,Western Kentucky KN,Kansas HL,Aff
6,Wyoming CH,Emory PS,Neg
7,Binghamton TP,CSU Long Beach ES,Neg
8,Kansas BW,North Texas VH,Aff
9,Arizona State SS,Dartmouth CG,Neg
10,Michigan CS,Georgetown GT,Aff
11,Georgetown VP,Trinity KP,Neg
12,Georgetown LN,Wichita State GM,Neg
13,Stanford LL,Harvard AB,Neg
14,Dartmouth HP,Southern California MT,Neg
15,George Mason RS,Missouri State CG,Neg
16,Kansas BM,Iowa KS,Aff
17,Wake Forest SK,Baylor MP,Neg
18,Dartmouth KR,Western Kentucky IP,Aff
19,Michigan HM,Southern California BM,Neg
20,Oklahoma BW,Harvard FK,Aff
21,Iowa AP,Gonzaga RW,Aff
22,George Mason DG,Kansas AU,Neg
23,Kansas OW,Southern California BR,Aff
24,George Mason WW,Emory GS,Neg
25,Macalester CD,Missouri State HN,Neg
26,Kansas LS,Harvard DS,Aff
27,Emory LY,Michigan BP,Neg
28,Northwestern AT,Emory GM,Neg
29,Emory CF,Kansas State AS,Aff
30,Baylor LL,Cornell LD,Aff
31,Wake Forest PS,Binghamton CK,Neg
32,UC Berkeley BU,CSU Long Beach OM,Neg
33,Michigan CC,Georgetown AC,Neg
34,Michigan SS,Baylor DL,Aff
35,Michigan ES,UTD PR,Aff
36,UTD HK,Michigan State GS,Aff
37,Emory KS,Northwestern LR,Neg
38,Emory AS,Michigan State JS,Neg
39,Wake Forest MP,Kentucky GS,Neg
40,Western Kentucky CF,Kansas HM,Aff
41,Emory OP,Wake Forest DE,Neg
42,Missouri State NS,Wake Forest AB,Neg
43,Kansas CS,UC Berkeley MR,Neg
44,Michigan GJ,Georgia CK,Aff
45,Western Kentucky SS,Dartmouth BJ,Aff
46,Kansas HP,Michigan AO,Aff
47,Liberty CL,West Georgia KK,Aff
48,Northwestern PS,Michigan State GL,Neg
49,Kansas State DR,Dartmouth GM,Aff
50,Emory CrTa,Northwestern LL,Aff
51,Iowa BS,Emory RY,Neg
52,Wake Forest SL,Macalester HW,Aff
53,Iowa EW,Emory SW,Aff
54,Emory JR,Georgia CP,Aff
