,Aff,Neg,Win
0,Kentucky GS,Northwestern AK,Aff
1,James Madison OM,Dartmouth BG,Aff
2,George Mason RT,Wake Forest SK,Neg
3,Wyoming WW,Liberty KS,Neg
4,Kentucky ER,Kansas CS,Neg
5,Michigan ES,Northwestern LW,Aff
6,Dartmouth GH,Northwestern AT,Neg
7,James Madison KP,Indiana FT,Neg
8,Kansas SS,Emory AS,Aff
9,Georgetown GT,Stanford LL,Neg
10,Northwestern LR,Emory TT,Aff
11,Oklahoma DT,Iowa KS,Neg
12,Northwestern MO,Dartmouth GH,Neg
13,George Mason DG,Michigan State FM,Neg
14,Kansas ST,CSU Long Beach OM,Neg
15,Gonzaga GW,UTD HK,Neg
16,Western Kentucky SS,Kansas State DS,Aff
17,Western Kentucky KN,UTD DD,Neg
18,Iowa BS,Missouri State BC,Aff
19,Wake Forest AB,UC Berkeley GS,Aff
20,Emory KS,Michigan CS,Neg
21,NYU JT,Wichita State GM,Neg
22,Kansas BM,UTD HH,Aff
23,Louisville NJ,Oklahoma BS,Neg
24,Dartmouth JR,Wake Forest LW,Neg
25,Emory GM,Michigan State JS,Aff
26,Purdue AH,Gonzaga RW,Neg
27,Dartmouth MR,Kansas BW,Aff
28,Navy CR,Kansas CF,Neg
29,"Harvard/Massachusetts, Amherst AL",Dartmouth PT,Aff
30,Georgia CP,UC Berkeley BU,Neg
31,Michigan CC,Dartmouth BC,Neg
32,Michigan SS,Baylor DL,Aff
33,Texas FL,George Mason WW,Aff
34,Kansas AU,Iowa AP,Neg
35,Binghamton CK,Baylor BK,Aff
36,NYU MS,Liberty CL,Aff
37,Michigan BP,Kansas LS,Neg
38,Kentucky RW,Emory RY,Aff
39,Michigan AO,Northwestern PS,Neg
40,Missouri State BK,Georgia CK,Neg
41,Harvard DS,Northwestern NP,Neg
42,Michigan State GS,Kansas HP,Neg
43,Kansas OW,Emory GS,Neg
44,Kansas State DR,Harvard JS,Neg
45,Dartmouth CG,Northwestern HP,Aff
46,Michigan State GL,Wake Forest MP,Aff
47,Macalester CD,Western Kentucky IP,Neg
48,Missouri State HN,Macalester HW,Neg
49,Kansas PB,Wyoming CH,Neg
50,Georgetown LN,Kansas SF,Neg
51,Harvard CS,Iowa EW,Neg
52,UTD KU,Kansas VF,Neg
53,Wake Forest HN,UC Berkeley MR,Neg
54,Emory LY,Kansas BP,Aff
55,Kansas State LW,Emory CG,Aff
56,Missouri State NS,Georgetown AC,Neg
57,Kansas JB,West Georgia KK,Aff
58,Harvard FK,North Texas GV,Neg
59,Michigan BL,Georgetown KL,Neg
60,Minnesota HU,Northwestern LL,Aff
61,UTD PR,Emory CS,Aff
