,Aff,Neg,Win
0,Michigan State GL,Dartmouth CG,Aff
1,Northwestern PS,Michigan BP,Neg
2,Emory LY,Kentucky GS,Neg
3,Northwestern LR,Baylor DL,Aff
4,UTD PR,Michigan SS,Neg
5,George Mason WW,Kentucky RW,Neg
6,Kansas SS,Michigan ES,Neg
7,Stanford LL,Northwestern NP,Aff
8,Kansas OW,Texas FL,Aff
9,Michigan CS,Georgetown AC,Neg
10,Harvard DS,CSU Long Beach OM,Neg
11,NYU MS,Emory RY,Neg
12,Binghamton CK,Emory GS,Neg
13,Kansas LS,Michigan State GS,Aff
14,Emory KS,Kansas HP,Aff
15,Iowa AP,UC Berkeley MR,Aff
