,Aff,Neg,Win
0,George Mason RT,UTD KR,Aff
1,Georgetown VP,Emory CG,Aff
2,Liberty SS,Michigan BL,Neg
3,Michigan CC,Wichita State GM,Aff
4,Western Kentucky SS,Cal State Fullerton MA,Aff
5,Navy LS,Kansas HL,Aff
6,Emory ST,Kansas BP,Neg
7,Iowa BS,Texas GS,Aff
8,Navy CR,Rochester OR,Aff
9,Iowa KS,Dartmouth BC,Neg
10,Kansas State AS,Binghamton TP,Aff
11,Kansas CF,Northwestern NP,Neg
12,Missouri State BC,"Massachusetts, Amherst LM",Neg
13,Kansas BM,Southern California MT,Neg
14,Stanford LL,Michigan SS,Neg
15,Emory KW,Kentucky RS,Aff
16,Kansas ST,Wake Forest LW,Neg
17,Wake Forest AB,Kansas JB,Neg
18,Georgetown GT,Liberty CL,Aff
19,George Mason WW,Michigan State GL,Neg
20,Cal State Fullerton MN,Towson DP,Neg
21,UC Berkeley BU,Northwestern LL,Neg
22,Dartmouth JR,Wyoming CH,Aff
23,Missouri State BK,Harvard/Amherst SL,Aff
24,UTD HK,Iowa EW,Neg
25,NYU JT,Kansas SS,Neg
26,Western Kentucky KN,Northwestern LW,Aff
27,Kansas OW,Michigan State FM,Aff
28,Macalester WC,George Mason DE,Aff
29,Emory OP,Iowa AP,Neg
30,Texas SH,Kansas HM,Aff
31,Houston IH,Emory AS,Neg
32,Oklahoma DT,Northwestern AK,Neg
33,Baylor MP,Wake Forest SW,Neg
34,Oklahoma BS,UT San Antonio CG,Neg
35,Emory CF,Wyoming WW,Aff
36,Kentucky RW,Georgia CP,Aff
37,UTD HH,Cal State Fullerton DC,Aff
38,Northwestern PS,Emory RY,Aff
39,Baylor DL,Northern Iowa CD,Aff
40,Indiana FT,Missouri State NS,Neg
41,Houston SF,Baylor BK,Neg
42,Emory KS,Kansas HP,Neg
43,Northwestern LR,UC Berkeley MR,Neg
44,CSU Long Beach OM,Michigan AM,Aff
45,Kansas State RS,Minnesota HU,Neg
46,Southern California BR,Missouri State HN,Aff
47,Emory CR,Southern California AS,Neg
48,Harvard BS,Northwestern HP,Aff
49,Kansas BW,Southern California BM,Neg
50,Georgetown KL,Minnesota MW,Aff
51,Michigan State GS,Emory GS,Neg
52,Michigan State JS,UTD DD,Neg
53,Georgetown WC,CSU Long Beach ES,Neg
54,Liberty TK,Western Kentucky IS,Aff
55,West Point OS,West Georgia KM,Neg
56,Texas FL,Binghamton CK,Neg
57,Emory CT,Missouri State CG,Aff
58,Georgetown AC,Kansas CS,Aff
59,George Mason RS,Trinity BK,Aff
60,Michigan AO,Emory LY,Neg
61,Dartmouth GH,Gonzaga RW,Aff
62,Georgetown LN,Wake Forest HN,Neg
63,Michigan BP,Kansas LS,Aff
64,Kansas AU,UTD PR,Aff
65,Western Kentucky CF,Northwestern AT,Neg
66,Michigan ES,Harvard DS,Aff
67,Southern Nazarene HS,Louisville VJ,Neg
68,Georgia CK,Wake Forest DE,Neg
