,Aff,Neg,Win
0,Northwestern LL,Emory GS,Neg
1,Michigan BP,Kansas AU,Aff
2,Emory KS,Kansas LS,Neg
3,CSU Long Beach OM,UC Berkeley BU,Aff
4,UTD DD,Georgetown AC,Neg
5,Michigan SS,Georgetown GT,Aff
6,Northwestern PS,UC Berkeley MR,Neg
7,Kansas HP,Michigan CC,Aff
8,Northwestern LR,Iowa AP,Neg
9,Texas FL,Iowa EW,Neg
10,Northwestern AT,Binghamton CK,Neg
11,Kansas SS,Emory LY,Neg
12,Baylor DL,Michigan State GL,Neg
13,Kansas OW,Northwestern NP,Aff
14,Michigan ES,Kentucky RW,Aff
15,Liberty CL,Harvard DS,Aff
