Round,Tournament,Round_Label,Aff,Neg,Win,Aff_Mu_Before,Aff_Mu_After,Aff_Mu_Delta,Neg_Mu_Before,Neg_Mu_After,Neg_Mu_Delta
nu_1,nu,1,Arizona State SS,Kansas LS,Neg,21.585,21.584,-0.0,42.588,42.588,0.0
nu_1,nu,1,Iowa AP,Michigan AO,Aff,36.3,36.331,0.031,28.668,28.636,-0.031
nu_1,nu,1,Northwestern AT,Emory CF,Aff,32.978,33.011,0.033,25.517,25.455,-0.062
nu_1,nu,1,Missouri State NS,Emory KS,Neg,23.303,23.278,-0.025,33.376,33.394,0.018
nu_1,nu,1,Wyoming CH,UTD PR,Neg,19.618,19.598,-0.02,29.768,29.783,0.015
nu_1,nu,1,Wake Forest PS,Macalester CD,Aff,29.714,29.722,0.008,15.335,15.326,-0.009
nu_1,nu,1,Dartmouth CG,Western Kentucky SS,Neg,30.294,30.04,-0.254,22.154,22.463,0.309
nu_1,nu,1,Georgia CP,Binghamton TP,Neg,22.744,22.503,-0.241,16.053,16.621,0.568
nu_1,nu,1,Harvard AB,Michigan State FM,Aff,27.814,27.982,0.168,29.383,29.253,-0.131
nu_1,nu,1,Michigan ES,Harvard FK,Aff,35.204,35.204,0.0,2.512,2.512,-0.0
nu_1,nu,1,Georgetown LN,Kansas AU,Neg,22.25,22.233,-0.017,32.438,32.453,0.015
nu_1,nu,1,Missouri State CG,Michigan State GL,Neg,21.047,21.04,-0.007,35.875,35.878,0.004
nu_1,nu,1,Michigan CS,Kansas HL,Aff,28.167,28.193,0.025,19.371,19.342,-0.029
nu_1,nu,1,Michigan SS,Wake Forest SK,Aff,37.744,37.745,0.001,18.663,18.662,-0.001
nu_1,nu,1,Georgetown GT,Emory GM,Neg,25.742,25.688,-0.054,31.047,31.119,0.072
nu_1,nu,1,Georgetown VP,Emory RY,Neg,19.32,19.305,-0.015,32.145,32.152,0.007
nu_1,nu,1,Baylor DL,Michigan HM,Aff,31.689,31.707,0.019,22.063,22.027,-0.035
nu_1,nu,1,Baylor MP,Wake Forest HN,Neg,17.869,17.837,-0.032,26.187,26.215,0.029
nu_1,nu,1,Northwestern LL,Kansas HP,Neg,27.12,27.089,-0.031,34.873,34.903,0.03
nu_1,nu,1,Wyoming WW,Liberty CL,Neg,20.086,20.058,-0.028,28.964,28.986,0.022
