Team,Mu,Sigma,Aff_Mu,Aff_Sigma,Neg_Mu,Neg_Sigma,Aff_Rounds,Neg_Rounds,Conservative
Emory GY,42.823,1.553,38.105,1.817,44.152,2.687,7,6,38.164
Michigan ES,42.077,1.539,42.859,2.698,36.503,2.127,6,5,37.461
Michigan BS,38.969,1.457,38.225,2.193,37.207,2.034,5,5,34.598
Kansas UO,38.177,1.586,37.829,2.441,33.288,2.202,4,5,33.42
Michigan CS,37.917,1.504,35.118,2.064,43.852,2.805,5,5,33.404
UC Berkeley BM,37.782,1.326,33.647,2.069,39.682,2.06,6,6,33.803
Emory SY,37.47,1.356,32.104,1.923,45.098,2.652,6,5,33.4
Wake Forest BS,37.175,1.426,43.606,2.742,30.481,2.153,6,5,32.897
Michigan State LM,35.449,1.45,41.109,3.377,30.493,1.823,4,6,31.097
UTD DH,34.076,1.421,41.467,3.171,25.54,1.942,5,5,29.814
Iowa EW,33.874,1.372,37.11,1.814,29.853,2.638,5,5,29.759
Kansas FB,33.814,1.536,34.923,2.136,35.715,2.491,5,4,29.205
Wichita State MG,33.486,2.554,38.735,4.434,28.094,3.235,1,2,25.824
Northwestern LP,32.521,1.472,27.677,2.141,35.404,2.176,5,4,28.106
Kansas SS,32.385,1.418,28.52,1.997,33.176,2.754,5,5,28.131
Macalester KS,32.359,1.338,28.29,1.798,33.203,2.355,5,5,28.343
Wake Forest LP,32.207,1.432,31.788,3.016,28.299,1.899,4,5,27.91
Iowa PK,31.947,1.383,32.909,2.072,27.778,2.293,5,5,27.799
Texas AG,31.812,1.475,29.696,2.669,33.304,2.236,4,4,27.386
Northwestern LT,31.657,1.384,25.999,2.109,34.534,2.206,5,5,27.505
George Mason DC,31.497,1.469,29.263,2.799,33.99,2.419,4,4,27.09
Dartmouth JT,31.427,1.339,22.397,2.108,32.444,2.154,5,4,27.411
Georgia CP,31.396,1.544,36.19,2.652,24.006,2.341,4,4,26.763
Michigan AC,31.371,1.54,23.744,2.927,34.237,2.379,3,4,26.75
CSU Long Beach EM,31.273,1.36,29.308,2.34,28.694,1.886,4,5,27.193
Georgetown LN,31.255,1.601,29.575,2.467,33.521,2.211,4,4,26.453
Texas AL,31.186,2.251,33.117,4.841,30.686,3.202,2,2,24.433
Western Kentucky NI,31.169,1.255,42.191,3.134,25.301,2.451,6,5,27.403
Harvard HL,31.153,1.372,29.081,2.089,35.322,2.241,4,5,27.037
Dartmouth CG,31.083,1.332,29.211,2.243,32.924,2.186,4,5,27.087
Harvard DS,31.037,1.46,35.098,2.698,21.371,2.743,5,4,26.656
Michigan GV,30.929,1.547,30.462,2.162,30.2,2.028,4,4,26.29
Oklahoma BW,30.684,1.642,28.667,2.276,30.193,3.121,4,3,25.758
Northwestern JP,30.526,1.456,28.63,2.439,31.913,2.128,4,5,26.158
Harvard GM,30.221,1.564,30.562,3.787,29.575,1.985,4,4,25.529
Harvard AB,30.168,1.484,22.066,2.757,42.258,3.254,4,4,25.716
Michigan AO,30.052,1.453,28.276,2.091,27.867,2.423,4,4,25.694
Liberty CL,29.967,1.36,32.67,2.274,28.706,2.139,4,5,25.885
Georgetown GT,29.912,1.543,20.501,2.546,38.645,3.63,4,4,25.281
Dartmouth CS,29.893,1.46,31.599,2.222,23.41,2.439,4,4,25.514
Wake Forest AM,29.377,1.588,32.271,2.289,28.991,2.102,4,4,24.613
Michigan State BS,29.286,1.566,39.37,3.463,19.926,2.86,4,4,24.587
Michigan State JS,29.001,1.384,40.661,3.269,22.937,2.057,4,5,24.848
Emory AT,28.597,1.503,26.94,2.442,31.803,2.563,4,4,24.088
George Mason WW,28.459,1.54,26.293,2.201,28.272,2.295,5,4,23.839
Kansas BT,28.411,1.677,25.569,2.198,31.245,2.743,4,4,23.381
Southern California TM,28.316,1.421,22.778,2.201,40.493,3.405,4,4,24.052
Dartmouth RU,28.02,1.383,28.23,2.171,23.891,2.141,4,5,23.871
Northwestern KM,27.856,1.517,26.297,2.533,31.91,2.615,4,4,23.306
Michigan State KP,27.364,1.63,23.871,2.518,30.875,2.737,4,4,22.475
Michigan State FM,27.351,1.514,29.133,2.743,21.864,2.899,4,4,22.81
