Team,Mu,Sigma,Aff_Mu,Aff_Sigma,Neg_Mu,Neg_Sigma,Aff_Rounds,Neg_Rounds,Conservative
Emory GS,42.5,0.944,40.821,0.933,42.71,1.007,42,47,39.669
Michigan BP,39.408,0.886,37.107,0.885,41.32,0.977,42,46,36.751
Kansas LS,38.957,0.888,37.309,0.886,40.591,0.963,48,41,36.293
Georgetown AC,37.88,0.867,36.126,0.88,38.795,0.905,49,46,35.28
Michigan SS,37.879,0.892,36.272,0.94,37.33,0.904,38,42,35.204
CSU Long Beach OM,36.402,0.863,35.037,0.892,36.523,0.871,40,45,33.814
Northwestern LR,36.238,0.871,37.315,0.913,34.578,0.877,45,38,33.625
Binghamton CK,35.483,0.848,33.293,0.883,36.147,0.887,36,36,32.938
Michigan State GL,34.894,0.862,34.498,0.879,33.953,0.884,45,40,32.309
Iowa AP,34.729,0.859,30.926,0.873,40.044,1.11,35,33,32.152
Macalester KH,34.714,1.017,33.748,1.455,34.939,1.306,9,9,31.663
Michigan ES,34.45,0.854,33.62,0.902,34.888,0.937,32,28,31.888
UC Berkeley MR,34.269,0.847,35.73,0.916,32.808,0.859,37,35,31.726
Kansas HP,33.845,0.838,34.815,0.941,32.356,0.893,25,26,31.33
Kansas OW,33.466,0.849,34.522,0.914,32.353,0.882,37,32,30.919
Emory KS,33.095,0.861,32.701,0.928,33.663,0.943,27,26,30.512
Emory LY,32.787,0.85,31.403,0.876,34.087,0.89,39,33,30.236
Northwestern PS,32.147,0.853,32.585,0.913,30.633,0.931,28,27,29.587
Northwestern AT,31.935,0.86,32.183,0.878,32.012,0.951,30,29,29.355
Kansas AU,31.736,0.844,30.197,0.961,31.563,0.89,25,33,29.204
Emory RY,31.293,0.851,30.575,0.949,32.632,0.959,25,25,28.74
Kentucky RW,31.136,0.921,29.894,1.197,33.186,1.157,10,15,28.372
Northwestern NP,31.127,0.866,28.653,1.038,32.932,1.096,16,17,28.529
Dartmouth CG,30.887,0.858,28.4,0.945,31.519,0.884,29,36,28.313
Kansas MS,30.484,1.021,32.484,1.584,28.166,1.274,7,8,27.42
Baylor DL,30.379,0.852,31.956,0.952,28.909,0.9,28,29,27.824
Kentucky GS,30.345,0.844,30.343,0.88,30.356,0.905,33,32,27.814
Emory GM,30.274,0.976,29.271,1.222,30.064,1.293,10,11,27.345
Michigan CC,30.032,0.859,29.166,0.95,30.615,0.977,24,22,27.456
Harvard DS,29.898,0.857,29.937,0.973,30.191,0.952,26,24,27.328
Texas FL,29.539,0.839,30.357,0.922,28.804,0.898,28,28,27.021
Stanford LL,29.351,0.926,27.747,1.152,29.885,1.238,11,12,26.573
UTD PR,29.314,0.85,31.897,0.937,25.967,0.898,34,31,26.765
Liberty CL,29.256,0.848,28.88,0.933,29.082,0.901,26,31,26.713
West Georgia KK,29.215,1.069,28.291,1.707,28.993,1.386,7,7,26.009
NYU MS,29.21,0.887,30.925,1.076,26.836,1.051,17,17,26.548
UC Berkeley BU,28.826,0.842,26.096,0.917,31.723,0.991,29,27,26.3
Western Kentucky FN,28.82,0.989,29.802,1.24,27.0,1.312,11,12,25.852
Wake Forest PS,28.714,1.075,23.854,1.624,30.779,1.407,9,8,25.488
Iowa EW,28.697,0.846,28.215,0.958,29.022,0.888,26,30,26.159
Kansas SS,28.365,0.856,27.514,0.978,28.655,1.015,21,18,25.796
Michigan State GS,28.258,0.872,33.297,1.012,23.923,0.942,28,33,25.642
