Round,Tournament,Round_Label,Aff,Neg,Win,Aff_Mu_Before,Aff_Mu_After,Aff_Mu_Delta,Neg_Mu_Before,Neg_Mu_After,Neg_Mu_Delta
nu_1,nu,1,Arizona State SS,Kansas LS,Neg,21.456,21.454,-0.002,38.631,38.632,0.001
nu_1,nu,1,Western Kentucky CF,Dartmouth HP,Aff,23.937,24.024,0.087,18.437,18.339,-0.099
nu_1,nu,1,Iowa AP,Michigan AO,Aff,34.452,34.486,0.034,28.098,28.062,-0.036
nu_1,nu,1,Northwestern AT,Emory CF,Aff,31.824,31.855,0.031,24.902,24.841,-0.061
nu_1,nu,1,Michigan BP,Baylor LL,Aff,38.772,38.774,0.003,23.706,23.696,-0.01
nu_1,nu,1,Missouri State NS,Emory KS,Neg,22.976,22.954,-0.023,32.709,32.724,0.015
nu_1,nu,1,Wyoming CH,UTD PR,Neg,19.554,19.537,-0.017,29.257,29.271,0.014
nu_1,nu,1,Wake Forest PS,Macalester CD,Aff,28.717,28.725,0.009,15.246,15.236,-0.01
nu_1,nu,1,Dartmouth CG,Western Kentucky SS,Neg,30.737,30.519,-0.218,23.254,23.494,0.24
nu_1,nu,1,Georgia CP,Binghamton PT,Neg,23.624,23.363,-0.261,14.25,14.727,0.477
nu_1,nu,1,Harvard AB,Michigan State FM,Aff,26.719,26.854,0.135,28.141,28.023,-0.118
nu_1,nu,1,Michigan ES,Harvard FK,Aff,34.213,34.213,0.0,4.145,4.145,-0.0
nu_1,nu,1,Georgetown LN,Kansas AU,Neg,22.249,22.231,-0.018,31.418,31.435,0.017
nu_1,nu,1,Missouri State CG,Michigan State GL,Neg,21.798,21.788,-0.01,34.594,34.6,0.006
nu_1,nu,1,Michigan CS,Kansas HL,Aff,27.117,27.142,0.025,19.013,18.985,-0.028
nu_1,nu,1,Michigan SS,Wake Forest SK,Aff,37.216,37.217,0.001,18.599,18.598,-0.001
nu_1,nu,1,Georgetown GT,Emory GM,Neg,24.226,24.187,-0.039,30.463,30.514,0.051
nu_1,nu,1,Georgetown VP,Emory RY,Neg,19.444,19.426,-0.017,31.164,31.172,0.008
nu_1,nu,1,Baylor DL,Michigan HM,Aff,30.379,30.399,0.02,21.748,21.709,-0.039
nu_1,nu,1,Baylor MP,Wake Forest HN,Neg,17.425,17.397,-0.029,25.411,25.437,0.026
nu_1,nu,1,Northwestern LL,Kansas HP,Neg,26.267,26.239,-0.028,33.86,33.886,0.025
nu_1,nu,1,Wyoming WW,Liberty CL,Neg,20.711,20.686,-0.025,29.165,29.186,0.021
nu_1,nu,1,UTD HK,Northwestern PS,Neg,28.113,28.059,-0.054,32.136,32.191,0.054
nu_1,nu,1,Emory GS,Kansas State DR,Aff,41.556,41.556,0.0,22.33,22.33,-0.0
nu_1,nu,1,Emory AS,Wake Forest AB,Aff,27.543,27.623,0.081,25.407,25.322,-0.085
nu_1,nu,1,Iowa BS,Western Kentucky IP,Aff,22.62,22.651,0.031,15.726,15.644,-0.082
nu_1,nu,1,Michigan State GS,Michigan AM,Aff,28.435,28.475,0.04,22.661,22.61,-0.051
nu_1,nu,1,CSU Long Beach OM,Baylor BK,Aff,35.847,35.854,0.008,24.004,23.996,-0.008
nu_1,nu,1,Western Kentucky KN,Emory CT,Neg,23.103,23.008,-0.095,24.999,25.141,0.142
nu_1,nu,1,Macalester HW,UC Berkeley MR,Aff,22.655,23.256,0.601,33.6,33.327,-0.273
nu_1,nu,1,Emory OP,Kansas State DS,Aff,26.855,26.859,0.005,11.596,11.592,-0.003
nu_1,nu,1,Northwestern LR,Iowa KS,Aff,35.998,36.003,0.005,23.136,23.13,-0.006
nu_1,nu,1,Missouri State HN,Harvard DS,Neg,20.583,20.551,-0.032,29.667,29.685,0.018
nu_1,nu,1,Kansas State AS,Michigan CC,Neg,24.302,24.218,-0.084,29.972,30.013,0.041
nu_1,nu,1,CSU Long Beach ES,Georgetown KL,Aff,17.88,18.067,0.186,20.134,19.919,-0.215
nu_1,nu,1,Emory PS,Kansas CS,Neg,20.256,20.072,-0.183,24.262,24.352,0.091
nu_1,nu,1,Dartmouth BJ,Michigan GJ,Neg,23.4,23.137,-0.262,23.613,23.922,0.309
nu_1,nu,1,Georgetown AC,Kansas HM,Aff,37.295,37.295,0.0,13.008,13.008,-0.0
nu_1,nu,1,Emory SW,Binghamton CK,Neg,21.149,21.142,-0.007,35.025,35.029,0.004
nu_1,nu,1,Emory LY,Kansas BW,Aff,32.546,32.59,0.044,27.596,27.553,-0.043
nu_1,nu,1,Dartmouth GM,Michigan State JS,Neg,23.537,23.358,-0.179,26.75,26.813,0.063
nu_1,nu,1,Dartmouth KR,West Georgia KK,Neg,20.964,20.902,-0.061,29.589,29.625,0.035
nu_1,nu,1,UC Davis MS,Emory CG,Aff,18.231,18.463,0.232,15.478,15.396,-0.082
nu_1,nu,1,Iowa EW,Wake Forest MP,Aff,28.794,28.869,0.075,26.828,26.68,-0.148
nu_1,nu,1,Indiana FT,Wake Forest DE,Neg,15.351,15.335,-0.017,25.509,25.523,0.014
nu_1,nu,1,Emory JR,Kentucky GS,Neg,27.747,27.52,-0.227,30.359,30.425,0.066
