Round,Tournament,Round_Label,Aff,Neg,Win,Aff_Mu_Before,Aff_Mu_After,Aff_Mu_Delta,Neg_Mu_Before,Neg_Mu_After,Neg_Mu_Delta
nu_1,nu,1,Michigan State LM,Kansas CC,Aff,25.0,29.205,4.205,25.0,20.795,-4.205
nu_1,nu,1,Western Kentucky NI,Emory CrSm,Aff,25.0,29.205,4.205,25.0,20.795,-4.205
nu_1,nu,1,Kansas BT,Dartmouth CG,Neg,25.0,20.795,-4.205,25.0,29.205,4.205
nu_1,nu,1,Houston FI,MoState BM,Aff,25.0,29.205,4.205,25.0,20.795,-4.205
nu_1,nu,1,Emory ChSt,Kansas SS,Neg,25.0,20.795,-4.205,25.0,29.205,4.205
nu_1,nu,1,Michigan CS,Wake Forest PT,Aff,25.0,29.205,4.205,25.0,20.795,-4.205
nu_1,nu,1,Indiana TF,Georgia CP,Neg,25.0,20.795,-4.205,25.0,29.205,4.205
nu_1,nu,1,UC Berkeley GS,Wyoming LW,Aff,25.0,29.205,4.205,25.0,20.795,-4.205
nu_1,nu,1,Emory GY,MoState NC,Aff,25.0,29.205,4.205,25.0,20.795,-4.205
nu_1,nu,1,Indiana DJ,Georgetown LN,Neg,25.0,20.795,-4.205,25.0,29.205,4.205
nu_1,nu,1,Emory HT,Michigan BS,Neg,25.0,20.795,-4.205,25.0,29.205,4.205
nu_1,nu,1,Wake Forest AM,MoState DH,Aff,25.0,29.205,4.205,25.0,20.795,-4.205
nu_1,nu,1,West Georgia HL,Michigan State KP,Neg,25.0,20.795,-4.205,25.0,29.205,4.205
nu_1,nu,1,Emory CS,MoState CP,Aff,25.0,29.205,4.205,25.0,20.795,-4.205
nu_1,nu,1,Kansas UO,Michigan AD,Aff,25.0,29.205,4.205,25.0,20.795,-4.205
nu_1,nu,1,Utah BH,UC Berkeley AW,Neg,25.0,20.795,-4.205,25.0,29.205,4.205
nu_1,nu,1,Georgia KL,Oklahoma BW,Neg,25.0,20.795,-4.205,25.0,29.205,4.205
nu_1,nu,1,Emory SY,Georgetown LC,Aff,25.0,29.205,4.205,25.0,20.795,-4.205
nu_1,nu,1,Trinity CO,Kansas FB,Neg,25.0,20.795,-4.205,25.0,29.205,4.205
nu_1,nu,1,Northwestern KM,Harvard HL,Neg,25.0,20.795,-4.205,25.0,29.205,4.205
nu_1,nu,1,Wichita State MG,Texas AL,Aff,25.0,29.205,4.205,25.0,20.795,-4.205
nu_1,nu,1,Michigan AR,Trinity BK,Aff,25.0,29.205,4.205,25.0,20.795,-4.205
nu_1,nu,1,Liberty CL,Harvard GM,Aff,25.0,29.205,4.205,25.0,20.795,-4.205
nu_1,nu,1,Michigan LS,CSU Long Beach EM,Neg,25.0,20.795,-4.205,25.0,29.205,4.205
nu_1,nu,1,Utah VP,Dartmouth RU,Neg,25.0,20.795,-4.205,25.0,29.205,4.205
nu_1,nu,1,Dartmouth BJ,Macalester KS,Neg,25.0,20.795,-4.205,25.0,29.205,4.205
nu_1,nu,1,Texas AG,Western Kentucky HM,Aff,25.0,29.205,4.205,25.0,20.795,-4.205
nu_1,nu,1,West Georgia GK,Southern California BM,Neg,25.0,20.795,-4.205,25.0,29.205,4.205
nu_1,nu,1,George Mason DC,Iowa LS,Aff,25.0,29.205,4.205,25.0,20.795,-4.205
nu_1,nu,1,Michigan BB,Iowa PK,Neg,25.0,20.795,-4.205,25.0,29.205,4.205
nu_1,nu,1,Kentucky SR,Iowa SB,Aff,25.0,29.205,4.205,25.0,20.795,-4.205
nu_1,nu,1,Wyoming HW,Southern California TM,Neg,25.0,20.795,-4.205,25.0,29.205,4.205
nu_1,nu,1,Wake Forest DM,Northwestern LT,Neg,25.0,20.795,-4.205,25.0,29.205,4.205
nu_1,nu,1,Western Kentucky KN,Wake Forest NS,Aff,25.0,29.205,4.205,25.0,20.795,-4.205
nu_1,nu,1,Gonzaga AG,Emory MW,Neg,25.0,20.795,-4.205,25.0,29.205,4.205
nu_1,nu,1,Michigan ES,Baylor BK,Aff,25.0,29.205,4.205,25.0,20.795,-4.205
nu_1,nu,1,Oklahoma PS,Kansas BB,Neg,25.0,20.795,-4.205,25.0,29.205,4.205
nu_1,nu,1,Texas GS,Harvard DS,Neg,25.0,20.795,-4.205,25.0,29.205,4.205
nu_1,nu,1,Michigan State FM,Michigan PF,Aff,25.0,29.205,4.205,25.0,20.795,-4.205
nu_1,nu,1,Kansas AW,Michigan BP,Aff,25.0,29.205,4.205,25.0,20.795,-4.205
nu_1,nu,1,MoState DS,Emory AT,Neg,25.0,20.795,-4.205,25.0,29.205,4.205
nu_1,nu,1,Emory TY,Iowa EW,Neg,25.0,20.795,-4.205,25.0,29.205,4.205
nu_1,nu,1,Northwestern LP,Kansas LL,Aff,25.0,29.205,4.205,25.0,20.795,-4.205
nu_1,nu,1,UC Berkeley BM,Emory CF,Aff,25.0,29.205,4.205,25.0,20.795,-4.205
nu_1,nu,1,Emory JR,Baylor PA,Aff,25.0,29.205,4.205,25.0,20.795,-4.205
