Round,Tournament,Round_Label,Aff,Neg,Win,Aff_Mu_Before,Aff_Mu_After,Aff_Mu_Delta,Neg_Mu_Before,Neg_Mu_After,Neg_Mu_Delta
nu_1,nu,1,Cal State Fullerton MW,Texas AF,Neg,25.0,20.795,-4.205,25.0,29.205,4.205
nu_1,nu,1,Houston AK,Missouri State CN,Neg,25.0,20.795,-4.205,25.0,29.205,4.205
nu_1,nu,1,Iowa BW,Michigan State MM,Neg,25.0,20.795,-4.205,25.0,29.205,4.205
nu_1,nu,1,Wichita State MW,Baylor LC,Neg,25.0,20.795,-4.205,25.0,29.205,4.205
nu_1,nu,1,Emory SW,Northwestern PS,Neg,25.0,20.795,-4.205,25.0,29.205,4.205
nu_1,nu,1,Binghamton TC,Northwestern AL,Aff,25.0,29.205,4.205,25.0,20.795,-4.205
nu_1,nu,1,Emory FW,Michigan SG,Neg,25.0,20.795,-4.205,25.0,29.205,4.205
nu_1,nu,1,West Georgia DK,Oklahoma DT,Aff,25.0,29.205,4.205,25.0,20.795,-4.205
nu_1,nu,1,Missouri State BG,George Mason DF,Neg,25.0,20.795,-4.205,25.0,29.205,4.205
nu_1,nu,1,Kentucky AM,Kansas FS,Aff,25.0,29.205,4.205,25.0,20.795,-4.205
nu_1,nu,1,Indiana FM,Southern California BrRe,Neg,25.0,20.795,-4.205,25.0,29.205,4.205
nu_1,nu,1,NYU MS,Michigan BH,Aff,25.0,29.205,4.205,25.0,20.795,-4.205
nu_1,nu,1,CSU Long Beach OM,Oklahoma AW,Aff,25.0,29.205,4.205,25.0,20.795,-4.205
nu_1,nu,1,UC Berkeley TB,Dartmouth BJ,Aff,25.0,29.205,4.205,25.0,20.795,-4.205
nu_1,nu,1,Emory BS (Bennett/Sanneh),Dartmouth BC,Neg,25.0,20.795,-4.205,25.0,29.205,4.205
nu_1,nu,1,Michigan State AZ,George Mason WR,Neg,25.0,20.795,-4.205,25.0,29.205,4.205
nu_1,nu,1,Emory MR,UTD HR,Aff,25.0,29.205,4.205,25.0,20.795,-4.205
nu_1,nu,1,Kansas HP,Southern Nazarene YH,Aff,25.0,29.205,4.205,25.0,20.795,-4.205
nu_1,nu,1,Baylor LP,UTD KP,Neg,25.0,20.795,-4.205,25.0,29.205,4.205
nu_1,nu,1,Western Kentucky FC,Southern California BR,Aff,25.0,29.205,4.205,25.0,20.795,-4.205
nu_1,nu,1,Kansas LS,Macalester DD,Aff,25.0,29.205,4.205,25.0,20.795,-4.205
nu_1,nu,1,Southern California ZM,Wake Forest LS,Neg,25.0,20.795,-4.205,25.0,29.205,4.205
nu_1,nu,1,Emory PO,Houston KS,Aff,25.0,29.205,4.205,25.0,20.795,-4.205
nu_1,nu,1,Michigan State BS,North Texas JW (Jones/Wofford),Aff,25.0,29.205,4.205,25.0,20.795,-4.205
nu_1,nu,1,Iowa AP,Michigan DS,Aff,25.0,29.205,4.205,25.0,20.795,-4.205
nu_1,nu,1,Dartmouth MM,Wake Forest CS,Neg,25.0,20.795,-4.205,25.0,29.205,4.205
nu_1,nu,1,Missouri State BK (Bodenhorn/Kimmerle),Kentucky GS,Neg,25.0,20.795,-4.205,25.0,29.205,4.205
nu_1,nu,1,Emory ST,Kansas WH,Neg,25.0,20.795,-4.205,25.0,29.205,4.205
nu_1,nu,1,Western Kentucky SS,UTD KS,Neg,25.0,20.795,-4.205,25.0,29.205,4.205
nu_1,nu,1,Georgetown RS,Western Kentucky CS,Aff,25.0,29.205,4.205,25.0,20.795,-4.205
nu_1,nu,1,Trinity KM,Kansas MR,Neg,25.0,20.795,-4.205,25.0,29.205,4.205
nu_1,nu,1,Northwestern DR,Emory RT,Aff,25.0,29.205,4.205,25.0,20.795,-4.205
nu_1,nu,1,Emory LY,Gonzaga DW,Aff,25.0,29.205,4.205,25.0,20.795,-4.205
nu_1,nu,1,Michigan AO,Georgetown CW,Neg,25.0,20.795,-4.205,25.0,29.205,4.205
nu_1,nu,1,Macalester HK,Harvard AB,Aff,25.0,29.205,4.205,25.0,20.795,-4.205
nu_1,nu,1,Michigan BP,Gonzaga RW,Aff,25.0,29.205,4.205,25.0,20.795,-4.205
nu_1,nu,1,Dartmouth CG,Michigan State GL,Neg,25.0,20.795,-4.205,25.0,29.205,4.205
nu_1,nu,1,Michigan State JS,Wake Forest BM,Neg,25.0,20.795,-4.205,25.0,29.205,4.205
nu_1,nu,1,UC Berkeley MR,Kansas BW,Neg,25.0,20.795,-4.205,25.0,29.205,4.205
nu_1,nu,1,Michigan ShSi,Emory KP,Neg,25.0,20.795,-4.205,25.0,29.205,4.205
nu_1,nu,1,Southern California LK,Harvard GY,Neg,25.0,20.795,-4.205,25.0,29.205,4.205
nu_1,nu,1,Baylor KB,Emory GY,Neg,25.0,20.795,-4.205,25.0,29.205,4.205
nu_1,nu,1,Kansas WW,Dartmouth KR,Aff,25.0,29.205,4.205,25.0,20.795,-4.205
nu_1,nu,1,Houston TY,Missouri State CT,Aff,25.0,29.205,4.205,25.0,20.795,-4.205
nu_1,nu,1,Southern California CS,Trinity PW,Neg,25.0,20.795,-4.205,25.0,29.205,4.205
nu_1,nu,1,Emory CP,Wichita State GM,Aff,25.0,29.205,4.205,25.0,20.795,-4.205
nu_1,nu,1,Georgetown/American University (Policy Debate) VY,Wake Forest EP,Neg,25.0,20.795,-4.205,25.0,29.205,4.205
nu_1,nu,1,Michigan ES (Esmailzadeh/Sharma),Houston DF,Aff,25.0,29.205,4.205,25.0,20.795,-4.205
nu_1,nu,1,Wake Forest BH,Dartmouth CW,Neg,25.0,20.795,-4.205,25.0,29.205,4.205
nu_1,nu,1,Cal State Fullerton AM,Michigan SS,Neg,25.0,20.795,-4.205,25.0,29.205,4.205
nu_1,nu,1,Emory GH,Wake Forest DS,Aff,25.0,29.205,4.205,25.0,20.795,-4.205
nu_1,nu,1,Georgia IP,Southern California/UC Berkeley OM,Aff,25.0,29.205,4.205,25.0,20.795,-4.205
nu_2,nu,2,UTD KP,Emory CP,Aff,29.205,32.718,3.513,29.205,25.692,-3.513
nu_2,nu,2,Western Kentucky CS,Iowa BW,Neg,20.795,17.282,-3.513,20.795,24.308,3.513
nu_2,nu,2,Wake Forest CS,Emory MR,Neg,29.205,25.692,-3.513,29.205,32.718,3.513
nu_2,nu,2,Northwestern PS,Michigan ES (Esmailzadeh/Sharma),Aff,29.205,32.718,3.513,29.205,25.692,-3.513
nu_2,nu,2,Michigan SG,Binghamton TC,Neg,29.205,25.692,-3.513,29.205,32.718,3.513
nu_2,nu,2,George Mason DF,UC Berkeley TB,Neg,29.205,25.692,-3.513,29.205,32.718,3.513
nu_2,nu,2,Macalester DD,Wake Forest BH,Neg,20.795,17.282,-3.513,20.795,24.308,3.513
nu_2,nu,2,Dartmouth CW,Kansas LS,Neg,29.205,25.692,-3.513,29.205,32.718,3.513
nu_2,nu,2,Wichita State GM,Baylor LP,Aff,20.795,24.308,3.513,20.795,17.282,-3.513
nu_2,nu,2,Southern California BrRe,Macalester HK,Neg,29.205,25.692,-3.513,29.205,32.718,3.513
nu_2,nu,2,Missouri State CT,Southern California ZM,Neg,20.795,17.282,-3.513,20.795,24.308,3.513
nu_2,nu,2,Harvard AB,Indiana FM,Aff,20.795,24.308,3.513,20.795,17.282,-3.513
nu_2,nu,2,Houston DF,Emory SW,Neg,20.795,17.282,-3.513,20.795,24.308,3.513
nu_2,nu,2,Northwestern AL,Emory FW,Aff,20.795,24.308,3.513,20.795,17.282,-3.513
nu_2,nu,2,Michigan State MM,Georgetown RS,Neg,29.205,25.692,-3.513,29.205,32.718,3.513
nu_2,nu,2,UTD HR,Dartmouth MM,Aff,20.795,24.308,3.513,20.795,17.282,-3.513
nu_2,nu,2,Wake Forest LS,Houston TY,Neg,29.205,25.692,-3.513,29.205,32.718,3.513
nu_2,nu,2,Dartmouth BJ,Missouri State BG,Aff,20.795,24.308,3.513,20.795,17.282,-3.513
nu_2,nu,2,Southern California/UC Berkeley OM,Michigan AO,Aff,20.795,24.308,3.513,20.795,17.282,-3.513
nu_2,nu,2,Georgetown CW,Georgia IP,Aff,29.205,32.718,3.513,29.205,25.692,-3.513
nu_2,nu,2,Emory GY,Kentucky AM,Neg,29.205,25.692,-3.513,29.205,32.718,3.513
nu_2,nu,2,Kansas FS,Baylor KB,Aff,20.795,24.308,3.513,20.795,17.282,-3.513
nu_2,nu,2,Michigan BH,Trinity KM,Neg,20.795,17.282,-3.513,20.795,24.308,3.513
nu_2,nu,2,Kansas MR,NYU MS,Aff,29.205,32.718,3.513,29.205,25.692,-3.513
nu_2,nu,2,Michigan DS,Emory ST,Neg,20.795,17.282,-3.513,20.795,24.308,3.513
nu_2,nu,2,Kansas WH,Iowa AP,Neg,29.205,25.692,-3.513,29.205,32.718,3.513
nu_2,nu,2,George Mason WR,Emory LY,Neg,29.205,25.692,-3.513,29.205,32.718,3.513
nu_2,nu,2,Gonzaga DW,Michigan State AZ,Aff,20.795,24.308,3.513,20.795,17.282,-3.513
nu_2,nu,2,Baylor LC,Northwestern DR,Neg,29.205,25.692,-3.513,29.205,32.718,3.513
nu_2,nu,2,Emory RT,Wichita State MW,Neg,20.795,17.282,-3.513,20.795,24.308,3.513
nu_2,nu,2,Missouri State CN,Dartmouth CG,Neg,29.205,23.472,-5.733,20.795,26.528,5.733
nu_2,nu,2,Michigan State GL,Houston AK,Neg,29.205,23.472,-5.733,20.795,26.528,5.733
nu_2,nu,2,Kentucky GS,UC Berkeley MR,Neg,29.205,23.472,-5.733,20.795,26.528,5.733
nu_2,nu,2,Kansas BW,Missouri State BK (Bodenhorn/Kimmerle),Aff,29.205,30.988,1.783,20.795,19.012,-1.783
nu_2,nu,2,Trinity PW,Michigan ShSi,Neg,29.205,23.472,-5.733,20.795,26.528,5.733
nu_2,nu,2,Emory KP,Southern California CS,Aff,29.205,30.988,1.783,20.795,19.012,-1.783
nu_2,nu,2,Wake Forest EP,Kansas HP,Neg,29.205,25.692,-3.513,29.205,32.718,3.513
nu_2,nu,2,Southern Nazarene YH,Georgetown/American University (Policy Debate) VY,Aff,20.795,24.308,3.513,20.795,17.282,-3.513
nu_2,nu,2,North Texas JW (Jones/Wofford),Emory BS (Bennett/Sanneh),Aff,20.795,24.308,3.513,20.795,17.282,-3.513
nu_2,nu,2,Dartmouth BC,Michigan State BS,Aff,29.205,32.718,3.513,29.205,25.692,-3.513
nu_2,nu,2,Southern California BR,Michigan BP,Neg,20.795,19.012,-1.783,29.205,30.988,1.783
nu_2,nu,2,Gonzaga RW,Western Kentucky FC,Aff,20.795,26.528,5.733,29.205,23.472,-5.733
nu_2,nu,2,Dartmouth KR,Southern California LK,Aff,20.795,24.308,3.513,20.795,17.282,-3.513
nu_2,nu,2,Harvard GY,Kansas WW,Aff,29.205,32.718,3.513,29.205,25.692,-3.513
nu_2,nu,2,UTD KS,Emory GH,Neg,29.205,25.692,-3.513,29.205,32.718,3.513
nu_2,nu,2,Wake Forest DS,Western Kentucky SS,Neg,20.795,17.282,-3.513,20.795,24.308,3.513
nu_2,nu,2,Houston KS,Michigan State JS,Neg,20.795,17.282,-3.513,20.795,24.308,3.513
nu_2,nu,2,Wake Forest BM,Emory PO,Aff,29.205,32.718,3.513,29.205,25.692,-3.513
nu_2,nu,2,Texas AF,CSU Long Beach OM,Neg,29.205,25.692,-3.513,29.205,32.718,3.513
nu_2,nu,2,Kansas BS,Cal State Fullerton AM,Neg,25.0,19.305,-5.695,20.795,25.039,4.245
nu_2,nu,2,Michigan SS,West Georgia DK,Aff,29.205,32.718,3.513,29.205,25.692,-3.513
nu_2,nu,2,Oklahoma AW,Cal State Fullerton MW,Neg,20.795,17.282,-3.513,20.795,24.308,3.513
nu_3,nu,3,Dartmouth BC,UTD KP,Aff,32.718,35.671,2.952,32.718,29.766,-2.952
nu_3,nu,3,Iowa BW,Georgia IP,Neg,24.308,21.654,-2.653,25.692,28.346,2.653
nu_3,nu,3,Wake Forest CS,Kansas FS,Aff,25.692,28.346,2.653,24.308,21.654,-2.653
nu_3,nu,3,Macalester HK,Northwestern PS,Neg,32.718,29.766,-2.952,32.718,35.671,2.952
nu_3,nu,3,Binghamton TC,Kansas BW,Aff,32.718,35.265,2.547,30.988,28.212,-2.776
nu_3,nu,3,George Mason WR,Wichita State GM,Aff,25.692,28.346,2.653,24.308,21.654,-2.653
nu_3,nu,3,Georgetown RS,Kansas LS,Aff,32.718,35.671,2.952,32.718,29.766,-2.952
nu_3,nu,3,Wake Forest BH,Michigan State JS,Neg,24.308,21.355,-2.952,24.308,27.26,2.952
nu_3,nu,3,Kentucky AM,CSU Long Beach OM,Aff,32.718,35.671,2.952,32.718,29.766,-2.952
nu_3,nu,3,Wake Forest BM,Houston TY,Aff,32.718,35.671,2.952,32.718,29.766,-2.952
nu_3,nu,3,Iowa AP,Kansas MR,Neg,32.718,29.766,-2.952,32.718,35.671,2.952
nu_3,nu,3,Emory KP,Michigan SS,Neg,30.988,28.212,-2.776,32.718,35.265,2.547
nu_3,nu,3,Emory LY,Kansas HP,Aff,32.718,35.671,2.952,32.718,29.766,-2.952
nu_3,nu,3,Southern California ZM,Emory MR,Neg,24.308,22.93,-1.377,32.718,34.096,1.377
nu_3,nu,3,UC Berkeley TB,Emory GH,Neg,32.718,29.766,-2.952,32.718,35.671,2.952
nu_3,nu,3,Northwestern DR,Harvard GY,Neg,32.718,29.766,-2.952,32.718,35.671,2.952
nu_3,nu,3,Michigan BP,Georgetown CW,Neg,30.988,28.212,-2.776,32.718,35.265,2.547
nu_3,nu,3,Dartmouth CW,Georgetown/American University (Policy Debate) VY,Aff,25.692,27.07,1.377,17.282,15.904,-1.377
