Team,Debaters,Mu,Sigma,Aff_Mu,Aff_Sigma,Neg_Mu,Neg_Sigma,Aff_Rounds,Neg_Rounds,Conservative
Kansas MR,Revare & Marshall,42.87,1.149,41.153,1.642,40.121,1.784,41,39,39.423
Emory GH,Gallagher & Hecht,41.779,1.153,36.097,1.661,41.321,2.135,34,38,38.32
Dartmouth BC,Bald & Cai,39.307,1.041,35.151,1.505,39.293,1.871,40,34,36.183
Michigan BP,Barrett & Park,39.236,1.081,34.934,1.634,37.356,1.683,36,36,35.994
Macalester PK,Price & Kochel,38.291,1.623,35.752,2.393,34.477,2.346,15,15,33.423
Kentucky AM,Adam & McBlain,37.884,1.102,36.69,1.762,33.73,1.695,34,32,34.579
Binghamton TC,T. Louis & Cohn,37.057,1.078,34.747,1.627,34.482,1.822,35,32,33.824
Northwestern DR,Deo & Rubin,37.053,1.078,33.915,1.774,35.387,1.65,33,35,33.82
Michigan State GL,Gusis & Lewis,37.043,1.118,34.218,1.724,34.997,1.788,32,30,33.689
CSU Long Beach OM,Ortega & Medina,36.789,1.132,34.407,1.828,32.519,1.717,29,30,33.392
Kansas LS,Schultz & Larson,36.533,1.251,35.285,1.885,32.855,1.972,26,26,32.779
Emory LY,Lobo & Yang,36.396,1.19,33.383,2.086,33.797,1.745,24,31,32.827
Georgetown CS,Sayers & Cowan,36.278,1.273,34.747,1.909,33.134,2.044,25,21,32.459
Harvard GY,Gines & Yeshitila,36.028,1.706,34.647,3.296,28.869,2.713,12,13,30.911
Northwestern PS,Pacconi & Souchet,35.63,1.373,30.946,2.207,33.235,2.267,19,22,31.511
Michigan ES (Esmailzadeh/Shetty),Esmailzadeh & Shetty,35.475,1.752,33.173,2.664,33.356,2.666,11,14,30.219
Michigan State MM,Miklovis & Montford,35.208,1.328,32.617,2.059,33.534,2.137,22,22,31.223
Wake Forest BM,Bressler & Mojica,35.152,1.158,31.321,1.887,33.945,1.822,27,29,31.678
Michigan SS,Shah & Shih,34.941,1.189,32.052,2.011,32.466,1.777,25,28,31.375
Emory CP,Conry & Piekut,34.066,1.235,32.121,1.932,30.255,1.873,25,25,30.361
West Georgia DK,Dal Pra & Keller,34.023,1.304,28.972,2.042,33.564,2.053,22,21,30.111
Emory GY,Geevarghese & Young,33.318,1.429,32.433,2.328,30.437,2.238,20,20,29.03
Dartmouth CaGu,Cai & Guddati,33.308,1.993,28.555,3.023,33.394,2.832,10,9,27.33
NYU MS,Makinde & Saigal,33.211,1.391,32.158,2.054,28.587,2.113,23,19,29.038
Emory MR,Rupp & Maxwell,33.195,1.255,28.593,2.021,31.378,2.013,24,23,29.429
Iowa AP,Parfenoff & Anderson McElligott,32.927,1.309,31.83,2.084,29.142,2.057,21,21,29.0
Emory KP,Pierce & Kim,32.888,1.243,32.046,2.027,28.435,2.02,23,26,29.16
Houston AK,Abad & Khan,32.843,1.74,24.588,3.129,34.581,3.428,11,12,27.623
Wake Forest LS,Leverett & Sencion,32.591,1.202,30.685,2.036,30.745,1.967,24,24,28.985
